chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6273363669821118
ADC,ADC,0.85,0.1,fidelity,0.6340275366007458
ADC,ADC,0.85,0.2,fidelity,0.6354495784243073
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6473028172392629
ADC,ADC,0.85,0.4,fidelity,0.6499929103122196
ADC,ADC,0.85,0.5,fidelity,0.6503301305445942
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6569475324995718
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6546084935606068
ADC,ADC,0.85,0.8,fidelity,0.6550767057297106
ADC,ADC,0.85,0.9,fidelity,0.6511809991377145
ADC,ADC,0.85,1.0,fidelity,0.6303430511816831
