chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6181596772442091
ADC,ADC,0.85,0.1,fidelity,0.6273046684947784
ADC,ADC,0.85,0.2,fidelity,0.6322956091063329
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6293171740079033
ADC,ADC,0.85,0.4,fidelity,0.639436655850262
ADC,ADC,0.85,0.5,fidelity,0.6403350335872212
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6399308527745048
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6419566038406207
ADC,ADC,0.85,0.8,fidelity,0.6408849210682552
ADC,ADC,0.85,0.9,fidelity,0.6361176655549068
ADC,ADC,0.85,1.0,fidelity,0.6046585425534937
