chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6315547510120472
ADC,ADC,0.85,0.1,fidelity,0.6403798813874476
ADC,ADC,0.85,0.2,fidelity,0.6364454160421841
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6452575697436469
ADC,ADC,0.85,0.4,fidelity,0.6473738102749818
ADC,ADC,0.85,0.5,fidelity,0.651573398000006
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6511958086525088
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6527760663840502
ADC,ADC,0.85,0.8,fidelity,0.6529342525312634
ADC,ADC,0.85,0.9,fidelity,0.6472922298629399
ADC,ADC,0.85,1.0,fidelity,0.6223939216286477
