chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6334036295534736
ADC,ADC,0.85,0.1,fidelity,0.6354019324848392
ADC,ADC,0.85,0.2,fidelity,0.6345334317496029
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6397459772388169
ADC,ADC,0.85,0.4,fidelity,0.6448200906171709
ADC,ADC,0.85,0.5,fidelity,0.6445547689255565
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6522266826903346
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6490615229624628
ADC,ADC,0.85,0.8,fidelity,0.6468963520205794
ADC,ADC,0.85,0.9,fidelity,0.6435661312614328
ADC,ADC,0.85,1.0,fidelity,0.6249307712058344
