chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6141290814312824
ADC,ADC,0.85,0.1,fidelity,0.62388348319632
ADC,ADC,0.85,0.2,fidelity,0.6273070030406017
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6255079857711773
ADC,ADC,0.85,0.4,fidelity,0.6331778049362208
ADC,ADC,0.85,0.5,fidelity,0.6372368728943627
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6389927688753816
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6341917371436505
ADC,ADC,0.85,0.8,fidelity,0.6356377491839379
ADC,ADC,0.85,0.9,fidelity,0.6317425069325122
ADC,ADC,0.85,1.0,fidelity,0.6108148881362596
