,chA,chB,pA,pB,d,score
82,ADC,ADC,0.9,0.1,affinity,0.7913236281843651
83,ADC,ADC,0.9,0.1,wooters_distance,0.6546922561391352
84,ADC,ADC,0.9,0.0,trace_distance,0.382775784115622
85,ADC,ADC,0.9,0.0,fidelity,0.618199865075594
86,ADC,ADC,0.9,0.0,affinity,0.7847022239886671
87,ADC,ADC,0.9,0.0,wooters_distance,0.6607482922080663
88,ADC,ADC,0.8,1.0,trace_distance,0.5082519879548176
89,ADC,ADC,0.8,1.0,fidelity,0.6327327425118418
90,ADC,ADC,0.8,1.0,affinity,0.6327327425118418
91,ADC,ADC,0.8,1.0,wooters_distance,0.5763944159852453
92,ADC,ADC,0.8,0.9,trace_distance,0.45802691293892317
93,ADC,ADC,0.8,0.9,fidelity,0.6694863426035685
94,ADC,ADC,0.8,0.9,affinity,0.7402096317117836
95,ADC,ADC,0.8,0.9,wooters_distance,0.5834816782033757
96,ADC,ADC,0.8,0.8,trace_distance,0.4334114203771298
97,ADC,ADC,0.8,0.8,fidelity,0.6778261649110329
98,ADC,ADC,0.8,0.8,affinity,0.7694528454107733
99,ADC,ADC,0.8,0.8,wooters_distance,0.5864881456585844
100,ADC,ADC,0.8,0.7000000000000001,trace_distance,0.4081316626581794
101,ADC,ADC,0.8,0.7000000000000001,fidelity,0.683983514802193
102,ADC,ADC,0.8,0.7000000000000001,affinity,0.7901016931717705
103,ADC,ADC,0.8,0.7000000000000001,wooters_distance,0.5869688097950102
104,ADC,ADC,0.8,0.6000000000000001,trace_distance,0.38754243818328776
105,ADC,ADC,0.8,0.6000000000000001,fidelity,0.68589415885291
106,ADC,ADC,0.8,0.6000000000000001,affinity,0.8038428479539176
107,ADC,ADC,0.8,0.6000000000000001,wooters_distance,0.5902944730824284
108,ADC,ADC,0.8,0.5,trace_distance,0.3664779135679999
109,ADC,ADC,0.8,0.5,fidelity,0.6870770707223789
110,ADC,ADC,0.8,0.5,affinity,0.8136698215786823
111,ADC,ADC,0.8,0.5,wooters_distance,0.591498590436119
112,ADC,ADC,0.8,0.4,trace_distance,0.3493933989804449
