chA,chB,pA,pB,d,score
ADC,ADC,0.1,1.0,wooters_distance,0.7520768377079476
ADC,ADC,0.2,0.0,trace_distance,0.0754015853680786
ADC,ADC,0.2,0.0,fidelity,0.9367699111041453
ADC,ADC,0.2,0.0,affinity,0.967207489414316
ADC,ADC,0.2,0.0,wooters_distance,0.22725578761004936
ADC,ADC,0.2,0.1,trace_distance,0.104167074149295
ADC,ADC,0.2,0.1,fidelity,0.9098933098200258
ADC,ADC,0.2,0.1,affinity,0.9528772547309057
ADC,ADC,0.2,0.1,wooters_distance,0.30149495394109876
ADC,ADC,0.2,0.2,trace_distance,0.151387328540141
ADC,ADC,0.2,0.2,fidelity,0.8801173996040985
ADC,ADC,0.2,0.2,affinity,0.9352035509603839
ADC,ADC,0.2,0.2,wooters_distance,0.35041295946907347
ADC,ADC,0.2,0.30000000000000004,trace_distance,0.2040084433406686
ADC,ADC,0.2,0.30000000000000004,fidelity,0.8481360038000849
ADC,ADC,0.2,0.30000000000000004,affinity,0.9143474720440999
ADC,ADC,0.2,0.30000000000000004,wooters_distance,0.39579371357935567
ADC,ADC,0.2,0.4,trace_distance,0.23756355173342772
ADC,ADC,0.2,0.4,fidelity,0.8233300116425513
ADC,ADC,0.2,0.4,affinity,0.8972848503831387
ADC,ADC,0.2,0.4,wooters_distance,0.4242393503716608
ADC,ADC,0.2,0.5,trace_distance,0.2906783633946232
ADC,ADC,0.2,0.5,fidelity,0.7965549609220958
ADC,ADC,0.2,0.5,affinity,0.8738151326425698
ADC,ADC,0.2,0.5,wooters_distance,0.45368139342146524
ADC,ADC,0.2,0.6000000000000001,trace_distance,0.34033880311578196
ADC,ADC,0.2,0.6000000000000001,fidelity,0.758514243203335
ADC,ADC,0.2,0.6000000000000001,affinity,0.8441695361708277
ADC,ADC,0.2,0.6000000000000001,wooters_distance,0.4977213125206104
ADC,ADC,0.2,0.7000000000000001,trace_distance,0.39751534567889224
ADC,ADC,0.2,0.7000000000000001,fidelity,0.7263285323656392
ADC,ADC,0.2,0.7000000000000001,affinity,0.8086979052817505
ADC,ADC,0.2,0.7000000000000001,wooters_distance,0.530875645083965
ADC,ADC,0.2,0.8,trace_distance,0.44949351419744027
ADC,ADC,0.2,0.8,fidelity,0.6813849356807665
ADC,ADC,0.2,0.8,affinity,0.7665863083865886
ADC,ADC,0.2,0.8,wooters_distance,0.5778625579191058
ADC,ADC,0.2,0.9,trace_distance,0.5045758743642129
ADC,ADC,0.2,0.9,fidelity,0.6421283179393694
ADC,ADC,0.2,0.9,affinity,0.7080353167748394
ADC,ADC,0.2,0.9,wooters_distance,0.6119029813025997
ADC,ADC,0.2,1.0,trace_distance,0.6081082517513238
ADC,ADC,0.2,1.0,fidelity,0.5368113128446163
ADC,ADC,0.2,1.0,affinity,0.5368113128446163
ADC,ADC,0.2,1.0,wooters_distance,0.7293837636223087
ADC,ADC,0.30000000000000004,0.0,trace_distance,0.11388188703854062
ADC,ADC,0.30000000000000004,0.0,fidelity,0.8926461574566487
ADC,ADC,0.30000000000000004,0.0,affinity,0.9437191365434875
ADC,ADC,0.30000000000000004,0.0,wooters_distance,0.3056134353832048
ADC,ADC,0.30000000000000004,0.1,trace_distance,0.14050239763457512
ADC,ADC,0.30000000000000004,0.1,fidelity,0.871247770546681
ADC,ADC,0.30000000000000004,0.1,affinity,0.9321292011221033
ADC,ADC,0.30000000000000004,0.1,wooters_distance,0.3624837549193387
ADC,ADC,0.30000000000000004,0.2,trace_distance,0.1759467627298437
ADC,ADC,0.30000000000000004,0.2,fidelity,0.85247928551021
ADC,ADC,0.30000000000000004,0.2,affinity,0.9202885066248898
ADC,ADC,0.30000000000000004,0.2,wooters_distance,0.3925671426169645
ADC,ADC,0.30000000000000004,0.30000000000000004,trace_distance,0.20832315554371075
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.8337386852838082
ADC,ADC,0.30000000000000004,0.30000000000000004,affinity,0.9077975934560509
ADC,ADC,0.30000000000000004,0.30000000000000004,wooters_distance,0.41735382676855287
ADC,ADC,0.30000000000000004,0.4,trace_distance,0.25113956211192684
ADC,ADC,0.30000000000000004,0.4,fidelity,0.8081126001520712
ADC,ADC,0.30000000000000004,0.4,affinity,0.8889622476296286
ADC,ADC,0.30000000000000004,0.4,wooters_distance,0.4476514975322052
ADC,ADC,0.30000000000000004,0.5,trace_distance,0.29543670022988494
ADC,ADC,0.30000000000000004,0.5,fidelity,0.7860068865105442
ADC,ADC,0.30000000000000004,0.5,affinity,0.8694395469670986
ADC,ADC,0.30000000000000004,0.5,wooters_distance,0.4727835678844414
ADC,ADC,0.30000000000000004,0.6000000000000001,trace_distance,0.34730799511957083
ADC,ADC,0.30000000000000004,0.6000000000000001,fidelity,0.7534304920757107
ADC,ADC,0.30000000000000004,0.6000000000000001,affinity,0.8398335945496042
ADC,ADC,0.30000000000000004,0.6000000000000001,wooters_distance,0.5057929186956936
ADC,ADC,0.30000000000000004,0.7000000000000001,trace_distance,0.39495332512439946
ADC,ADC,0.30000000000000004,0.7000000000000001,fidelity,0.7223924245815146
ADC,ADC,0.30000000000000004,0.7000000000000001,affinity,0.8086448010684983
ADC,ADC,0.30000000000000004,0.7000000000000001,wooters_distance,0.537422370657056
ADC,ADC,0.30000000000000004,0.8,trace_distance,0.4513327920189974
ADC,ADC,0.30000000000000004,0.8,fidelity,0.6853919223362105
ADC,ADC,0.30000000000000004,0.8,affinity,0.7635203444059174
ADC,ADC,0.30000000000000004,0.8,wooters_distance,0.5743863145854214
ADC,ADC,0.30000000000000004,0.9,trace_distance,0.5034574654015873
ADC,ADC,0.30000000000000004,0.9,fidelity,0.64071294857961
ADC,ADC,0.30000000000000004,0.9,affinity,0.7110790444572328
ADC,ADC,0.30000000000000004,0.9,wooters_distance,0.6170021448692194
ADC,ADC,0.30000000000000004,1.0,trace_distance,0.597582217072887
ADC,ADC,0.30000000000000004,1.0,fidelity,0.5464326665216722
ADC,ADC,0.30000000000000004,1.0,affinity,0.5464326665216722
ADC,ADC,0.30000000000000004,1.0,wooters_distance,0.7115248130925963
ADC,ADC,0.4,0.0,trace_distance,0.153555164556316
ADC,ADC,0.4,0.0,fidelity,0.8554657806009063
ADC,ADC,0.4,0.0,affinity,0.923094018494056
ADC,ADC,0.4,0.0,wooters_distance,0.36196744802533254
ADC,ADC,0.4,0.1,trace_distance,0.16221791466414057
ADC,ADC,0.4,0.1,fidelity,0.8484230343782472
ADC,ADC,0.4,0.1,affinity,0.9197003671774594
ADC,ADC,0.4,0.1,wooters_distance,0.39517617721802695
ADC,ADC,0.4,0.2,trace_distance,0.19946016729292895
ADC,ADC,0.4,0.2,fidelity,0.82286382331745
ADC,ADC,0.4,0.2,affinity,0.9043737207058612
ADC,ADC,0.4,0.2,wooters_distance,0.4322198445918179
ADC,ADC,0.4,0.30000000000000004,trace_distance,0.23570097193164885
ADC,ADC,0.4,0.30000000000000004,fidelity,0.8021029708441773
ADC,ADC,0.4,0.30000000000000004,affinity,0.8901323054908942
