chA,chB,pA,pB,d,score
DC,MADC,0.2,0.0,affinity,0.5211414868941898
DC,MADC,0.2,0.0,wooters_distance,0.9410959903454141
DC,MADC,0.2,0.1,trace_distance,0.6972569519179734
DC,MADC,0.2,0.1,fidelity,0.3721271014540221
DC,MADC,0.2,0.1,affinity,0.5422006597085792
DC,MADC,0.2,0.1,wooters_distance,0.9259350880526915
DC,MADC,0.2,0.2,trace_distance,0.6662060306329387
DC,MADC,0.2,0.2,fidelity,0.40183477784727234
DC,MADC,0.2,0.2,affinity,0.5706824982357392
DC,MADC,0.2,0.2,wooters_distance,0.8928897181480396
DC,MADC,0.2,0.30000000000000004,trace_distance,0.6666410393954415
DC,MADC,0.2,0.30000000000000004,fidelity,0.3966398311737892
DC,MADC,0.2,0.30000000000000004,affinity,0.5680918470809345
DC,MADC,0.2,0.30000000000000004,wooters_distance,0.8993731884634751
DC,MADC,0.2,0.4,trace_distance,0.6543166718457625
DC,MADC,0.2,0.4,fidelity,0.4104588457232244
DC,MADC,0.2,0.4,affinity,0.5761566284429469
DC,MADC,0.2,0.4,wooters_distance,0.8856949029466267
DC,MADC,0.2,0.5,trace_distance,0.6296288558683559
DC,MADC,0.2,0.5,fidelity,0.4404239081655552
DC,MADC,0.2,0.5,affinity,0.5931707200104945
DC,MADC,0.2,0.5,wooters_distance,0.8549735999078447
DC,MADC,0.2,0.6000000000000001,trace_distance,0.6325335114330906
DC,MADC,0.2,0.6000000000000001,fidelity,0.4465221697065995
DC,MADC,0.2,0.6000000000000001,affinity,0.5881469393126841
DC,MADC,0.2,0.6000000000000001,wooters_distance,0.8498611061403327
DC,MADC,0.2,0.7000000000000001,trace_distance,0.6317244267384963
DC,MADC,0.2,0.7000000000000001,fidelity,0.46175340312703456
DC,MADC,0.2,0.7000000000000001,affinity,0.5864943760473877
DC,MADC,0.2,0.7000000000000001,wooters_distance,0.8341504167689914
DC,MADC,0.2,0.8,trace_distance,0.6375084357627497
DC,MADC,0.2,0.8,fidelity,0.4721300834021981
DC,MADC,0.2,0.8,affinity,0.5759535956454626
DC,MADC,0.2,0.8,wooters_distance,0.8226783955984133
DC,MADC,0.2,0.9,trace_distance,0.6488131513348823
DC,MADC,0.2,0.9,fidelity,0.48600053750390176
DC,MADC,0.2,0.9,affinity,0.5583793244150702
DC,MADC,0.2,0.9,wooters_distance,0.8067382350619045
DC,MADC,0.2,1.0,trace_distance,0.670018640311069
DC,MADC,0.2,1.0,fidelity,0.4995696735676726
DC,MADC,0.2,1.0,affinity,0.5000682676601986
DC,MADC,0.2,1.0,wooters_distance,0.7856072774445377
DC,MADC,0.30000000000000004,0.0,trace_distance,0.6845545717430677
DC,MADC,0.30000000000000004,0.0,fidelity,0.37662019112844025
DC,MADC,0.30000000000000004,0.0,affinity,0.5591150703918047
DC,MADC,0.30000000000000004,0.0,wooters_distance,0.9191426527518948
DC,MADC,0.30000000000000004,0.1,trace_distance,0.6514448703424979
DC,MADC,0.30000000000000004,0.1,fidelity,0.40423341927508283
DC,MADC,0.30000000000000004,0.1,affinity,0.5877188811450473
DC,MADC,0.30000000000000004,0.1,wooters_distance,0.888227881175761
DC,MADC,0.30000000000000004,0.2,trace_distance,0.6414978165919444
DC,MADC,0.30000000000000004,0.2,fidelity,0.4105654766823564
DC,MADC,0.30000000000000004,0.2,affinity,0.5952991343920995
DC,MADC,0.30000000000000004,0.2,wooters_distance,0.881610560885656
DC,MADC,0.30000000000000004,0.30000000000000004,trace_distance,0.6208687505627591
DC,MADC,0.30000000000000004,0.30000000000000004,fidelity,0.43270892844549996
DC,MADC,0.30000000000000004,0.30000000000000004,affinity,0.6107292888733622
DC,MADC,0.30000000000000004,0.30000000000000004,wooters_distance,0.8591530783745427
DC,MADC,0.30000000000000004,0.4,trace_distance,0.629646711388249
DC,MADC,0.30000000000000004,0.4,fidelity,0.42609785215655366
DC,MADC,0.30000000000000004,0.4,affinity,0.6018836531747194
DC,MADC,0.30000000000000004,0.4,wooters_distance,0.8667621130000491
DC,MADC,0.30000000000000004,0.5,trace_distance,0.6191596187180793
DC,MADC,0.30000000000000004,0.5,fidelity,0.4452901802701728
DC,MADC,0.30000000000000004,0.5,affinity,0.6090283892435576
DC,MADC,0.30000000000000004,0.5,wooters_distance,0.847813723404284
DC,MADC,0.30000000000000004,0.6000000000000001,trace_distance,0.6206355813038583
DC,MADC,0.30000000000000004,0.6000000000000001,fidelity,0.4498901465712753
DC,MADC,0.30000000000000004,0.6000000000000001,affinity,0.6022401415167472
DC,MADC,0.30000000000000004,0.6000000000000001,wooters_distance,0.8446620271290054
DC,MADC,0.30000000000000004,0.7000000000000001,trace_distance,0.6271110456332342
DC,MADC,0.30000000000000004,0.7000000000000001,fidelity,0.4622477222515251
DC,MADC,0.30000000000000004,0.7000000000000001,affinity,0.5968563043399204
DC,MADC,0.30000000000000004,0.7000000000000001,wooters_distance,0.8318626837053339
DC,MADC,0.30000000000000004,0.8,trace_distance,0.6317074228325106
DC,MADC,0.30000000000000004,0.8,fidelity,0.47441261394950845
DC,MADC,0.30000000000000004,0.8,affinity,0.5859438881344787
DC,MADC,0.30000000000000004,0.8,wooters_distance,0.8204421251968488
DC,MADC,0.30000000000000004,0.9,trace_distance,0.6449720617101448
DC,MADC,0.30000000000000004,0.9,fidelity,0.489181882433477
DC,MADC,0.30000000000000004,0.9,affinity,0.5673826597102559
DC,MADC,0.30000000000000004,0.9,wooters_distance,0.8032084265040862
DC,MADC,0.30000000000000004,1.0,trace_distance,0.6661316723864477
DC,MADC,0.30000000000000004,1.0,fidelity,0.4987492213889452
DC,MADC,0.30000000000000004,1.0,affinity,0.49928344179400813
DC,MADC,0.30000000000000004,1.0,wooters_distance,0.7860423635159426
DC,MADC,0.4,0.0,trace_distance,0.6471521746642446
DC,MADC,0.4,0.0,fidelity,0.3982628516184224
DC,MADC,0.4,0.0,affinity,0.5940490689445961
DC,MADC,0.4,0.0,wooters_distance,0.892633595277676
DC,MADC,0.4,0.1,trace_distance,0.6400477419488898
DC,MADC,0.4,0.1,fidelity,0.3999719276146266
DC,MADC,0.4,0.1,affinity,0.5998845126840168
DC,MADC,0.4,0.1,wooters_distance,0.8906115360802133
DC,MADC,0.4,0.2,trace_distance,0.6157926419627586
DC,MADC,0.4,0.2,fidelity,0.4249396555668063
DC,MADC,0.4,0.2,affinity,0.6189979077765562
DC,MADC,0.4,0.2,wooters_distance,0.8646028643828414
DC,MADC,0.4,0.30000000000000004,trace_distance,0.6150876017266367
DC,MADC,0.4,0.30000000000000004,fidelity,0.426851329636947
DC,MADC,0.4,0.30000000000000004,affinity,0.6182137038250107
DC,MADC,0.4,0.30000000000000004,wooters_distance,0.863511070669004
DC,MADC,0.4,0.4,trace_distance,0.619955025362029
DC,MADC,0.4,0.4,fidelity,0.42493528915539586
DC,MADC,0.4,0.4,affinity,0.6115372897479561
DC,MADC,0.4,0.4,wooters_distance,0.8668893815909137
DC,MADC,0.4,0.5,trace_distance,0.6138755193947915
DC,MADC,0.4,0.5,fidelity,0.441051324450096
DC,MADC,0.4,0.5,affinity,0.6153442290276508
DC,MADC,0.4,0.5,wooters_distance,0.8509042423993013
DC,MADC,0.4,0.6000000000000001,trace_distance,0.5974891482325926
DC,MADC,0.4,0.6000000000000001,fidelity,0.4730116893321597
DC,MADC,0.4,0.6000000000000001,affinity,0.6284252658131821
DC,MADC,0.4,0.6000000000000001,wooters_distance,0.8188926873077712
DC,MADC,0.4,0.7000000000000001,trace_distance,0.6163704546591975
DC,MADC,0.4,0.7000000000000001,fidelity,0.46933015660878574
DC,MADC,0.4,0.7000000000000001,affinity,0.6097763858866476
DC,MADC,0.4,0.7000000000000001,wooters_distance,0.8232644354282089
DC,MADC,0.4,0.8,trace_distance,0.6268057543030022
DC,MADC,0.4,0.8,fidelity,0.47969208074129616
DC,MADC,0.4,0.8,affinity,0.5973318251569902
DC,MADC,0.4,0.8,wooters_distance,0.812303346657128
DC,MADC,0.4,0.9,trace_distance,0.6441251803205807
DC,MADC,0.4,0.9,fidelity,0.488235117319442
DC,MADC,0.4,0.9,affinity,0.5729149008322656
DC,MADC,0.4,0.9,wooters_distance,0.8025463517516679
DC,MADC,0.4,1.0,trace_distance,0.6627898112863625
DC,MADC,0.4,1.0,fidelity,0.4993803086922615
DC,MADC,0.4,1.0,affinity,0.4998925297898416
DC,MADC,0.4,1.0,wooters_distance,0.7855806199023665
DC,MADC,0.5,0.0,trace_distance,0.608343121536152
DC,MADC,0.5,0.0,fidelity,0.42220079363288754
DC,MADC,0.5,0.0,affinity,0.6251598117178465
DC,MADC,0.5,0.0,wooters_distance,0.8662624518311571
DC,MADC,0.5,0.1,trace_distance,0.6038068736019064
DC,MADC,0.5,0.1,fidelity,0.4264641780149424
DC,MADC,0.5,0.1,affinity,0.6307117518159437
DC,MADC,0.5,0.1,wooters_distance,0.8614394479397393
DC,MADC,0.5,0.2,trace_distance,0.6036002638650885
DC,MADC,0.5,0.2,fidelity,0.4260900515640687
DC,MADC,0.5,0.2,affinity,0.6298401086675175
DC,MADC,0.5,0.2,wooters_distance,0.862317070695963
DC,MADC,0.5,0.30000000000000004,trace_distance,0.5987931522583505
DC,MADC,0.5,0.30000000000000004,fidelity,0.4337050315205614
DC,MADC,0.5,0.30000000000000004,affinity,0.6321706941224868
DC,MADC,0.5,0.30000000000000004,wooters_distance,0.8553242696531903
DC,MADC,0.5,0.4,trace_distance,0.5968516489316087
DC,MADC,0.5,0.4,fidelity,0.4434847880126673
DC,MADC,0.5,0.4,affinity,0.6335343064134362
DC,MADC,0.5,0.4,wooters_distance,0.8457900824578806
DC,MADC,0.5,0.5,trace_distance,0.5983708864550901
DC,MADC,0.5,0.5,fidelity,0.4521693036146578
DC,MADC,0.5,0.5,affinity,0.6310867475231259
DC,MADC,0.5,0.5,wooters_distance,0.8380913107022712
DC,MADC,0.5,0.6000000000000001,trace_distance,0.5963535305427917
DC,MADC,0.5,0.6000000000000001,fidelity,0.4712501938999358
DC,MADC,0.5,0.6000000000000001,affinity,0.6336019134766316
DC,MADC,0.5,0.6000000000000001,wooters_distance,0.8192176771688281
DC,MADC,0.5,0.7000000000000001,trace_distance,0.6053171123341922
DC,MADC,0.5,0.7000000000000001,fidelity,0.4763886158028355
DC,MADC,0.5,0.7000000000000001,affinity,0.6213365435747977
DC,MADC,0.5,0.7000000000000001,wooters_distance,0.8156327331535578
DC,MADC,0.5,0.8,trace_distance,0.6223409805021632
DC,MADC,0.5,0.8,fidelity,0.48465027332536986
DC,MADC,0.5,0.8,affinity,0.6064574736981587
DC,MADC,0.5,0.8,wooters_distance,0.8066736123696671
DC,MADC,0.5,0.9,trace_distance,0.6437361777439526
DC,MADC,0.5,0.9,fidelity,0.48959840711337366
DC,MADC,0.5,0.9,affinity,0.5779281731413665
DC,MADC,0.5,0.9,wooters_distance,0.800360089385307
DC,MADC,0.5,1.0,trace_distance,0.6665981619541321
DC,MADC,0.5,1.0,fidelity,0.49942595929047096
DC,MADC,0.5,1.0,affinity,0.49942640522441456
DC,MADC,0.5,1.0,wooters_distance,0.7858765974439752
DC,MADC,0.6000000000000001,0.0,trace_distance,0.5884190227494264
DC,MADC,0.6000000000000001,0.0,fidelity,0.43341599698703576
DC,MADC,0.6000000000000001,0.0,affinity,0.6432993460234425
DC,MADC,0.6000000000000001,0.0,wooters_distance,0.8534705064627532
DC,MADC,0.6000000000000001,0.1,trace_distance,0.5711698268010801
DC,MADC,0.6000000000000001,0.1,fidelity,0.44939316814984986
DC,MADC,0.6000000000000001,0.1,affinity,0.6560183568128529
