,chA,chB,pA,pB,d,score
82,ADC,ADC,0.9,0.1,affinity,0.7935706468769587
83,ADC,ADC,0.9,0.1,wooters_distance,0.6509927739207958
84,ADC,ADC,0.9,0.0,trace_distance,0.37697194026604075
85,ADC,ADC,0.9,0.0,fidelity,0.6239859882446875
86,ADC,ADC,0.9,0.0,affinity,0.78825024655898
87,ADC,ADC,0.9,0.0,wooters_distance,0.6546307432024129
88,ADC,ADC,0.8,1.0,trace_distance,0.5081456266540102
89,ADC,ADC,0.8,1.0,fidelity,0.6315396036718878
90,ADC,ADC,0.8,1.0,affinity,0.6315396036718878
91,ADC,ADC,0.8,1.0,wooters_distance,0.57761318211951
92,ADC,ADC,0.8,0.9,trace_distance,0.4585390974392843
93,ADC,ADC,0.8,0.9,fidelity,0.6709357604314831
94,ADC,ADC,0.8,0.9,affinity,0.7391109982456513
95,ADC,ADC,0.8,0.9,wooters_distance,0.5809082396659414
96,ADC,ADC,0.8,0.8,trace_distance,0.4283140963227127
97,ADC,ADC,0.8,0.8,fidelity,0.6832474572228667
98,ADC,ADC,0.8,0.8,affinity,0.7736586748644556
99,ADC,ADC,0.8,0.8,wooters_distance,0.5805476715875787
100,ADC,ADC,0.8,0.7000000000000001,trace_distance,0.4068495770502057
101,ADC,ADC,0.8,0.7000000000000001,fidelity,0.6850292046673626
102,ADC,ADC,0.8,0.7000000000000001,affinity,0.7913188115774593
103,ADC,ADC,0.8,0.7000000000000001,wooters_distance,0.585879123654887
104,ADC,ADC,0.8,0.6000000000000001,trace_distance,0.38421855723998904
105,ADC,ADC,0.8,0.6000000000000001,fidelity,0.6884053742724013
106,ADC,ADC,0.8,0.6000000000000001,affinity,0.8058460881488673
107,ADC,ADC,0.8,0.6000000000000001,wooters_distance,0.5875075502610841
108,ADC,ADC,0.8,0.5,trace_distance,0.36634108989609465
109,ADC,ADC,0.8,0.5,fidelity,0.6885538563399444
110,ADC,ADC,0.8,0.5,affinity,0.8143925465957665
111,ADC,ADC,0.8,0.5,wooters_distance,0.5901114651926493
112,ADC,ADC,0.8,0.4,trace_distance,0.34820589632154647
113,ADC,ADC,0.8,0.4,fidelity,0.6908677163999065
114,ADC,ADC,0.8,0.4,affinity,0.8217392844012807
115,ADC,ADC,0.8,0.4,wooters_distance,0.5890485000644027
116,ADC,ADC,0.8,0.30000000000000004,trace_distance,0.33503368236383174
117,ADC,ADC,0.8,0.30000000000000004,fidelity,0.6877055256454497
118,ADC,ADC,0.8,0.30000000000000004,affinity,0.8244366147985905
119,ADC,ADC,0.8,0.30000000000000004,wooters_distance,0.5929419234646852
120,ADC,ADC,0.8,0.2,trace_distance,0.3228942215088361
121,ADC,ADC,0.8,0.2,fidelity,0.688691050307303
122,ADC,ADC,0.8,0.2,affinity,0.8273695595285578
123,ADC,ADC,0.8,0.2,wooters_distance,0.5912609899109554
124,ADC,ADC,0.8,0.1,trace_distance,0.31876326636071184
125,ADC,ADC,0.8,0.1,fidelity,0.6846030516252514
126,ADC,ADC,0.8,0.1,affinity,0.825964830609106
127,ADC,ADC,0.8,0.1,wooters_distance,0.593954850455721
128,ADC,ADC,0.8,0.0,trace_distance,0.3184726765355344
129,ADC,ADC,0.8,0.0,fidelity,0.6827053142391671
130,ADC,ADC,0.8,0.0,affinity,0.8240557481299843
131,ADC,ADC,0.8,0.0,wooters_distance,0.5873976301744006
132,ADC,ADC,0.7000000000000001,1.0,trace_distance,0.5237989212090728
133,ADC,ADC,0.7000000000000001,1.0,fidelity,0.6170522631982264
134,ADC,ADC,0.7000000000000001,1.0,affinity,0.6170522631982263
135,ADC,ADC,0.7000000000000001,1.0,wooters_distance,0.6015152691139065
136,ADC,ADC,0.7000000000000001,0.9,trace_distance,0.4646380173770213
137,ADC,ADC,0.7000000000000001,0.9,fidelity,0.6668858844962579
138,ADC,ADC,0.7000000000000001,0.9,affinity,0.7363288739987084
139,ADC,ADC,0.7000000000000001,0.9,wooters_distance,0.5872018419190163
140,ADC,ADC,0.7000000000000001,0.8,trace_distance,0.42934855001920735
141,ADC,ADC,0.7000000000000001,0.8,fidelity,0.6862389875539397
142,ADC,ADC,0.7000000000000001,0.8,affinity,0.7747307310295706
143,ADC,ADC,0.7000000000000001,0.8,wooters_distance,0.5770567906571893
